,job_description,link,company,salary,Employment type,search_term,location,salary_lower_range,salary_higher_range,salary_middle_range,job_title,state,is_remote
2573,Data Architect,https://www.indeed.com/company/iConvergenceSolutions/jobs/Data-Warehouse-Architect-4b689eb380a3d1fa?fccid=8048f09ea2d1f72f&vjs=3,iconvergence,"$88,817 - $173,982 a year","Contract
+1",Data-Architect,Remote,88817.0,173982.0,131399.5,Data Architect,Remote,Y
2575,AWS/Snowflake Data Architect,https://www.indeed.com/company/Violetink-LLC/jobs/Software-Architect-5bfc2559ce372053?fccid=927ff0219dcebd60&vjs=3,Violetink LLC,"$120,000 - $130,000 a year","Full-time
+1",Data-Architect,Remote,120000.0,130000.0,125000.0,Data Architect,Remote,Y
2576,Data Architect,https://www.indeed.com/rc/clk?jk=ef54addf461a6e24&fccid=dd616958bd9ddc12&vjs=3,RS21 Careers,"$135,000 - $155,000 a year",Full-time,Data-Architect,Remote,135000.0,155000.0,145000.0,Data Architect,Remote,Y
2686,Oracle Transportation Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AiEXHS0xdYoQwXybiHBjbLwLkoEHteLdPS1xmybkl802nhtjY7AxOr1yDjlvqYB3nTEvlWIbd4SgnWhAbLnkv3DWQ7xi4DcFITl499Sh-JieA0k_z_hGaLt2qmL-C05I4BgZSBsquszeoNIZHX-LeURG9DaDVoGNiLmEQs85S2A-fKJo9y1jGMYnw2dLaFB0Qg8-Z2wgf1KlY5oFdrwsYSzvKR2Vu--ol5WXXyQ7KQnjkK61PRotPDnu491ml9gpbA0RKNl0KyiFWT8dyahz9DxLAmPSLfMn-CijHRXWHqFSDr19a9qGjrsWDwAtAwRDcq_IKpSYgBOn27jEuYz_tH7vhNUO-iHJ_AWzFQ0q2CaVQf_NANj1gj2BUPg9iSvW5XQRVLU4Wtfft001ZAsj7s2pG2cmdjdZJjaZgO13cheAf80uFrddwzophKB5Bp9zXb0LJUW2JIHJqy5-8zsxTO6fGZr4aqYmx3iLC2q66WaAz6luLGVdY0uAR2bn3aPRfLB3In1UFJhdfyBAsTIwD2MkN8hnrg2Jl7IUBwyS-sdTDzTFYWxQYjYotULw7EbWcEuMEbcG9TB-YajmIDHKIblYrfU8GIWr9Kb8OiudcfpZ9m1zZrgKl3&xkcb=SoDD-_M3JkWAeTA1FL0JbzkdCdPP&p=1&fvj=1&vjs=3,RSM Solutions Inc,"$100,000 - $120,000 a year",Full-time,Data-Architect,"Deerfield, IL",100000.0,120000.0,110000.0,Business Analyst,IL,N
2687,Software Solutions Architect,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKkHZu3wF05EeDimN_p6sYpKCMArvwa95YdH7UpkaBClWpqPDUFTGk_5rkonMj_zTc3DUcRETEKwCy0zNeZZDeinDET5dv4KY4Dm1qhR4yUvlE4Hbmqipbim1ogH3fdrZpL8w-wXW2dz7vT5XOHpzBZbvPwL6RyrDk-DhR2CPSmufE-Mvm-zJulnahOgwC4-QBLupLJRzOibbrUlfIjN9IRYxnuz4JO0f86K4B6hoHSTs_7doG5YgK9fb9nBwmcwc7vhk46CI-ZanAF_FSTmuNzgK_DWr8-bruogpE0guoZXJQrB-F39oZNFIHZJEBQVxPBKROnrXsLM6Ibg8DVGupKe6_bQK7sDFQnMEjb9w1EA8q2JI0YhF8RPQbOA1XuIG6dF6wBBtmvxMi4peyQXbY7y0N-N9N8mFkt2TYnDwAQSS4eZurRDxfwWb4woxalaD1zfcz_XUZN0Pzg6iIv27U601UeSfDneC4roAbCJyjbnXbHa9ZP9qsZrR0A2OOm6VKIbxQAe48x3R513sw84VkJ7NwgP6if0zjylaBN8pafTsOBCwEe4czbbwDibjL46e1ogVHCTTCrXIymM7kQxQ-XA5SrIIGwpKf8GYyg92bGVt2m1KS3rAj&xkcb=SoB3-_M3JkWAeTA1FL0IbzkdCdPP&p=2&fvj=1&vjs=3,Insight Global,"$125,000 - $155,000 a year",Full-time,Data-Architect,"Hybrid remote in Houston, TX 77002",125000.0,155000.0,140000.0,Data Architect,TX,N
2689,Senior Cloud Security Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AsbktAG5_d7zZpvjjXSmUmcD4iMcRvongZk4cc4SyVxiqb4bcesCUhRXmAV5goVAsBySjH_9f4KJ7wGyxNovBbEhAoWsOe0x8CcgRZ7TxPvBWJ06KrKkRaQgruHLAsMB42P6_o6doXrQs_JfNgbc0pCz6hygPdajzoEH1leTXJCPjuNEVg3mkOXrBMahMcUkpDD7VDSn8BXYtf9r6hrzz5yNntcSaoDQDlD_F6Fank48Y83tT0wjfV17gUrSVWGRN6tp4FduIDzIcnA5yR61Qff276LPP8MS7vvNBJO4Lc8pjtrBN311ZKe6leyDgEWp1LyzbBEX4yCtNdq3EtyKhXmMA5A-s_NSd3VdfJVXljB2ZbLmERh-C7dh8iYWb6LiTjXapQ9Okv3_hKNlpZPKZJvnP_twK6NOEEWbO_PvbzZi9uHBqwTDtj868wkFjyG3Ijm98CQeNpGuetf5vJXFHjQ-80VN296vlk3c1NPzQuWhaIBpF1CxiXxHm3Maq7YHbX21PFKEWqrl79OJZrXiSdNvRHsA4ekBHRMbao1UdpemNu6eEyDgvv4CE6YG54UwuLOMUGKBode-n8mrnmBsltVF16sUHNc6OYBhL7AUuehvKlTZhpU1UF8YV4gJNwO2KL5kA5HCAGPRsQ0gtz62YVvdZ0vFJD5RlZDo88ZylBSyjactje04wYFSCli6R9c2Oec9r7b9dnQMeS5uo6dvlTCVOqg_hViAU=&xkcb=SoBN-_M3JkWAeTA1FL0ObzkdCdPP&p=4&fvj=0&vjs=3,Credit Acceptance,"From $125,000 a year",Full-time,Data-Architect,Remote,125000.0,125000.0,125000.0,Data Engineer,Remote,Y
2692,Senior Data Modeler-Architect,https://www.indeed.com/company/YT-Global-Network/jobs/Senior-Data-Modeler-c3ad0bd61f3ddc8c?fccid=6c25475b966fa617&vjs=3,YT Global Network,$70 - $110 an hour,"Full-time
+1",Data-Architect,Remote,145600.0,228800.0,187200.0,Data Architect,Remote,Y
2693,Data Governance Architect,https://www.indeed.com/rc/clk?jk=4b6a73a60ef54d83&fccid=68fb8652f6e72b30&vjs=3,Public Consulting Group,"$110,000 - $135,000 a year",Full-time,Data-Architect,"Remote in Austin, TX 78701",110000.0,135000.0,122500.0,Data Architect,TX,N
2694,"Specialist, API and Data Architect – AWS (Work from Home)",https://www.indeed.com/rc/clk?jk=36fa09995c4777b5&fccid=817dbf75ac000d11&vjs=3,Transamerica,"$115,000 - $153,000 a year",Full-time,Data-Architect,Remote,115000.0,153000.0,134000.0,Data Architect,Remote,Y
2696,Lead Data Architect,https://www.indeed.com/company/Synkriom-Technology-Pvt.-Ltd./jobs/Lead-Data-Architect-3f0c1045fd6d5011?fccid=82b9fe3a61bc77c1&vjs=3,Synkriom Technology Pvt. Ltd.,$51.37 - $75.00 an hour,Contract,Data-Architect,"Philadelphia, PA 19103 ",106849.59999999999,156000.0,131424.8,Data Architect,PA,N
2698,Data Architect,https://www.indeed.com/rc/clk?jk=1a082fa8689513c1&fccid=9bfa3799c549a87f&vjs=3,HIGH BRIDGE CONSULTING LLC,$70 - $100 an hour,Full-time,Data-Architect,"Paramus, NJ 07652",145600.0,208000.0,176800.0,Data Architect,NJ,N
2699,Integration Architect,https://www.indeed.com/company/Medical-Home-Network/jobs/Software-Architect-db9420838cf6bcda?fccid=54a75271818d1bdd&vjs=3,Medical Home Network,"$135,000 - $180,000 a year",Full-time,Data-Architect,Hybrid remote,135000.0,180000.0,157500.0,Data Architect,Remote,Y
